timestamp,box_uid,box_title,prev_status,new_status,reason
2026-01-07T08:36:12,box_2201765855296,PAC Flash 2,YELLOW,GREEN,System nominal
2026-01-07T08:50:17,box_1870507241056,Multitek NS,GREEN,YELLOW,Warnings in: QC
2026-01-07T09:17:17,box_2201765855296,PAC Flash 2,YELLOW,GREEN,All watched tests are within expected ranges.
2026-01-07T09:17:17,box_1840573733840,Multitek S,YELLOW,GREEN,All watched tests are within expected ranges.
2026-01-07T09:17:17,box_2096856031904,PAC Flash 1,YELLOW,GREEN,All watched tests are within expected ranges.
2026-01-07T09:46:29,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-07T09:46:36,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T09:58:35,box_1765996407293,Eraspec NIR,GREEN,YELLOW,Last in-spec QC is stale.
2026-01-07T09:58:41,box_1765996407293,Eraspec NIR,GREEN,YELLOW,Warnings in: QC
2026-01-07T10:09:45,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-07T10:09:45,box_1870507241056,Multitek NS,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:09:45,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: PM
2026-01-07T10:09:45,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-07T10:09:45,box_1840573737440,Auto Grabner,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:09:45,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-07T10:09:45,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:09:45,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:09:46,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:09:46,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:09:46,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:09:46,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:14:36,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-07T10:14:36,box_1870507241056,Multitek NS,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:14:36,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: PM
2026-01-07T10:14:36,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-07T10:14:36,box_1840573737440,Auto Grabner,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:14:36,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-07T10:14:36,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:14:36,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:14:36,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:14:36,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:14:36,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:14:36,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:37:45,box_1870507241920,Eraspec,YELLOW,GREEN,System nominal
